Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778465205,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778465206,10,,Aggregated,0.000000,0.000000,260,500,530,560,580,600,600,600,600,600,600,21,0,260,375.6175714285876,192.17079999998532,601.4544999998179,2375.5238095238096
1778465207,30,,Aggregated,0.000000,0.000000,220,250,280,320,460,530,580,600,600,600,600,120,0,220,228.5211308333146,17.56599999998798,601.4544999998179,4865.333333333333
1778465208,40,,Aggregated,0.000000,0.000000,120,210,250,260,420,500,570,600,600,600,600,180,0,110,162.41435833332565,15.450800000053277,601.4544999998179,4865.333333333333
1778465209,50,,Aggregated,21.000000,0.000000,110,220,280,450,1300,1600,1700,1700,1700,1700,1700,280,0,100,294.1618050000067,15.450800000053277,1710.074799999802,7670.714285714285
1778465210,50,,Aggregated,60.000000,0.000000,190,290,530,850,1200,1500,1700,1700,1700,1700,1700,339,0,190,391.03293982301915,15.450800000053277,1710.074799999802,7248.209439528024
1778465211,50,,Aggregated,70.000000,0.000000,200,310,570,850,1200,1400,1600,1700,1700,1700,1700,363,0,200,396.8694104683309,15.450800000053277,1710.074799999802,8355.986225895316
1778465212,50,,Aggregated,67.600000,0.000000,220,460,850,1000,1400,1600,1700,1700,2100,2100,2100,423,0,220,471.66824846336846,15.450800000053277,2123.349599999983,9763.18439716312
1778465213,50,,Aggregated,67.600000,0.000000,230,490,850,1100,1500,1700,2300,2700,3000,3000,3000,470,0,230,518.6033876595835,15.450800000053277,2974.734299999909,10762.255319148937
1778465214,50,,Aggregated,60.285714,0.000000,260,530,920,1100,1600,2200,2700,2800,3000,3000,3000,509,0,260,586.6960210216193,15.450800000053277,2974.734299999909,10543.23575638507
1778465215,50,,Aggregated,58.750000,0.000000,75,230,390,530,1400,1700,2700,2800,3000,3000,3000,871,0,75,394.82375786453304,15.450800000053277,2974.734299999909,10671.177956371987
